,#,LB,Post,PhI/A,Ph/B,Ph/C,Ph/D,Ph/E,PhII/A,PhII/B,PhII/C,PhIII/A,PhIII/B,PhIII/C,PhIII/D,PhIII/E,PhIV/A,PhIV/B,PhIV/C,PhIV/D,PhIV/E,PhV/A,PhV/B,PhV/C
41,Post 3_2_1_2_3_1_1_1_1,E,"Hi Lisa, Yes, that's how I understand it. One thing that makes me a little wary is while reading Teaching Crowds, I've had to about ""groupthink"" that is brought up as a potential set-back in group dynamics, but even there, perhaps the scope of an ""artistic"" project gives participants ""artistic license"" and allows them to be more overtly create/expressive without feeling pressured into following others' leads. Thanks for taking the time to think this through with me!",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Post 4,C,"As children, we learn by observing and then by studying our environment. Our parents or guardians or community members take the responsibility to teach their ways to ensure that we are accepted into our distinct groups. At this stage, we learn normative rules for engagement with members within our communities. In Latin America and North America, using the wrong pronoun, in Spanish, to address your elders says a lot about your upbringing. Using t� with an elder versus usted is a form of disrespect or disregard for elders. We learn the rules for communication soon after acquiring our ability to verbalize or use nonverbal cues. There are ""good words"" and there are ""bad words."" Those words differ by group. Communication is also varying and is influenced by our audience. We adapt our vocabulary and communication style to suit the relationship we have with our intended audience.
In the United States, there is a dominant group, this group shares a ""standardized"" language and use similar communication patterns. The members of the dominant group are mostly of the same ethnic make-up. The dominant group establishes its cultural norms.
In the Goodfellow and Hewing reading, they discuss elements of the dominant culture that linger in all aspects of society including education known as ""standard"" functionality. In this article, they also categorize learners into two groups individualistic and collectivist. In the video animation, we saw an example of a teacher who had an individualistic view. He made several assumptions taken from his dominant view of the education system and imposed those views on a population of students who did not understand his view.
To create content that is culturally inclusive one needs to have the knowledge and an understanding of how people communicate, communications patterns, and rules for engagement. For a learning module to be culturally inclusive one needs to implement and utilize tools that give equal access to every learner. This would look like allowing discussions to flow naturally, give participants options on how to participate in sessions: chat: synchronous, asynchronous, recorded video, or private messaging with the teacher/facilitator/professor. Learners must have opportunities to learn from others and contribute their views. Assessment must be focused on individual contributions as well as collaborative tasks.",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,2,2
43,Post 4_1,A,"Hi Mark,
I appreciate you applying individualism and collectivism in what we saw in the videos. This made me think about how we as Americans are individualists and this was something that the article mentioned, and how as teachers we take this individualistic idea and its permeated throughout our classrooms. As I reflect on this idea of individualism, I am thinking about how our education system values individualism over collectivism. I know that in recent times we are trying to steer into a collectivist mindset when it comes to learning new content but the expectation is to still do something on our own which means that we are still so heavily rooted in individualism. 
I think you made an excellent point that in order to be an effective instructor you have to understand how people communicate. This is something I am beginning to learn as I adjust to my work as an instructional designer and seeing how my coworkers who have studied communication are really good at their work and have a better understanding of their audience. Not to go get off track, but this is something I plan to pursue after I'm done with my Master's degree. That is why to your point, we have to give different modes of communication to learners and allow them to choose how they want to communicate. ",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,Post 4_1_1,K,"Melissa and Mark-
I too thought more about individualism vs collectivism this week.  Specifically when reading the comparison of Community of Inquiry (COI) vs WisCom, I found myself preferring the COI approach.  I realized this was likely due to being raised in Western culture and the US education system.  COI starts with individual construction of knowledge and then sharing vs WisCom where learning occurs collectively and is then internalized.
But I also hear my parents in my head saying: "" think for yourself; make your own decisions; If your friends jumped off a bridge, would you do it too?""  Were you also raised with these values??  This has left me with the impression that somehow collective decision making is bad.  I'm just wondering if there is any truth to this.  Does collectivism make you less able to make a decision for yourself?  I will need to do more research on this.  ",1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0
45,Post 4_1_1_1,A,"Hi Dixie, I feel like I was raised to be a mix of both. My parents always raised me to think about family and helping out in times of need whether it's financial assistance or offering moral support. On the other hand, I was also raised not to follow the crowd and make decisions that are going to make me a better person. It's definitely something to think about and explore further. ",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
46,Post 4_1_2,C,"Hi Dixie,
I can relate to your experience. I too heard that saying quite often. I grew up in a very diversified tiny country where culture is ever evolving and conflicting. 
I realize that I am primarily individualistic and that this is a learned behavior. In many ways working in education helped me to grow and to reflect on cultural differences. I wonder if I had taken on a collectivist approach to teaching if my students would have been at a disadvantage or advantage come End of Course exams when they take their individual assessment of learning. ",3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Post 4_1_2,C,"Hi Melissa, thank you for your thoughtful response. In thinking about the question how does language and culture affect learning it was hard for me not to reference food as an example of individualistic vs altruistic thinking. 
In many cultures food sharing is a ritual. In India, the elderly eat first and then the rest of the family. In Vietnam food is shared by all. This is similar to the Native Americans as well who open their homes to extended family and friends to share food on their respective feast days or our New Mexican ""Spanish"" population who celebrate ""la fiestas"" in their respective communities i.e. Las Matanzas.
In the U.S., this individualistic ideal remains dominant in many aspects of culture including education, as you shared, but same the same can be said about how we ""share"" food. When we order a meal we do so for ourselves. It is packaged for one. As referenced in the readings this is another example of a standardized practice that remains dominant in our society. 
Thanks for sharing your future plans with us. I know you will be very successful. ",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0
48,Post 4_1_2_1,M,"Hey Mark, your point of view on dominance within communication is spot on. I did not think about this when initially responding to the discussion, but it is reflected best with generational communication, as you mentioned. I do think it is taught, or lack of being taught. When I was growing up my sisters were within 10 years of age to our youngest Aunts, and we never called them by a formal name, Aunt Sandy or Aunt Cheryl. It was informal and by their first name. This was just our �normal.� It was not until I had children and they called family by the same name I did, that I heard the disrespect. I now call them by their title and name.
To be culturally inclusive, we do need to have the knowledge and objectivity. I think in American culture we often get to involved in discussions to listen to everyone, this especially happens in a timed course. The the class is close to ending, some voices do get silenced in an effort to wrap up the class.",3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
49,Post 5,H,"The videos were very informative, I especially liked the culture shock one. I can certainly relate how the new teacher might have felt when he was involved in a new culture experience such as the Navajo one in the video. Mark from Iron and Silk also experienced a culture shock and had to adjust. I assume that change would be quite uncomfortable for the ""new person"" and hopefully with the use of technology it can be lessened in the future. For example, perhaps in the future a teacher such as the ones in the videos could use local apps to familiarize themselves with the culture before traveling to the destination. These apps may assist with language translation, common culture practices such as taking one's shoes off before entering the home or not shouting to get someone's attention. Perhaps with the advent of wearable smart glasses; technology could play another key role in assisting with the culture adjustment process. For example, you could look at a artifact and immediately know what is is and where it comes from. Hopefully technology will further lessen the gaps between us and assist us with learning more about other's cultures.",4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
50,Post 5_1,J,"Hi Wyatt, I too related to the teacher in Culture Shock. My first time teaching in Albuquerque was in South Valley, and I was new in NM and had lived in California and New Jersey before. I felt like the behaviors in the video were very similar to the ones in my classroom. Since I was a substitute I was not included on all the trainings teachers get around here for different ways to teach the students and the way to work with common behaviors. Your ideas about apps and smart glasses to help with learning local culture are very interesting. I think it would go very far to have some kind of educational classes on specific cultures instead of speaking about them all at the same time broadly.",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Post 6,K,"Afternoon, I like the questions posed for this week. I had a big ""oof"" moment when the teacher did so little prep for making the cultural leap to teach abroad. I was sort of surprised by it actually. I would assume as an educator you would want to gain all the knowledge you could on somewhere new to ensure that you went into a new assignment as prepared as possible to limit the speed bumps that everyone encounters when starting a new position. I did stop to reflect myself if I had ever done this and realized I myself made this mistake a few times in my career. I thought about my deployment and some of my simple (easily avoidable) mistakes came up. I think the biggest one I realized was being in a Muslim country and not wearing my head covering when I interacted with the local population. I didn't see it as a big deal then but now I can recall the shock from the people who I was around that I didn't seem to know or even pay attention to their local culture. I think the video made me realize that I need to really pay attention to the local culture so I can avoid any issues in my next assignment.",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
52,Post 6_1,A,"Hi Amanda, I empathize with you about your experience. Even just visiting friends you can tell the differences in culture. For example, if someone comes to my house, my mom taught us to offer water and snacks. When my mom visits someone and she is not offered anything, she gets highly offended. I agree that it's good to understand the local culture, but sometimes it can be hard to determine the culture of the person you are visiting. ",0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Post 6_1_1,I,"Hello, Melissa.  I agree that you do not even have to leave your country to have a culture shock.  My husband and I were both raised in the South (Texas for me, Louisiana for him), so we were raised by grandmothers who were very hospitable.  However, my family did ""visiting,"" where you just knocked on the door of your family member/neighbor/friend and asked if you could visit.  Almost all of the time, the answer was ""yes,"" and the coffee and the ribbon candy (again, my grandmother) would appear, and the adults would visit and kids would play.  When I started dated my husband and we were over at my grandmother's one day when this happened with my aunt and uncle, the poor thing could not wrap his head around the concept as in his family, as hospitable as his grandmother was, it would be considered rude to show up with no prior warning and expect to be hosted.",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Post 7,G,"I has been very interesting reading the comments in this thread.

The thought that kept occurring to me during this block was, ""As an instructional designer, what assumptions am I making about the student or the instructor?"".
Those assumptions might involve their cultural or lingual base, how the student learns or how the instructor teaches. 

It is very easy to make incorrect assumptions in these areas, and I have been guilty of it myself.  Where I work, the subject matter advisor and/or designer for a course are often not the people who will actually teach.  They are never the students.  So, if they assume that the student or the instructor has a base of knowledge (cultural or lingual) that does not exist and is not specifically listed as a prerequisite, we have a major problem.  That is one of the reasons that we peer review lesson plans in a manner to ensure that the reviewer has little or no knowledge base about the subject.  But, these assumptions can still creep into the design.

For example, one of the areas of instruction that we design for involves becoming licensed to drive a commercial motor vehicle (A semi-truck/18 wheeler).  There is probably an assumption in there that the student comes from a culture that has a significant background with operating machinery.  Specifically, that they have experience operating a manual transmission.  While many people my age learned to drive on a manual transmission, this is becoming less and less common.  So, does that bias set some students up for failure because it isn't taking into account their cultural experience (generational)?  I think it probably does.

Another example more related to language, and the bane of my existence, is acronyms.  The first training I ever attended at my current job was basically a safety course.  The instructor referenced so many acronyms in the first 15 minutes that I felt completely lost and seriously wondered if I had missed a prerequisite.  I leaned over to the student next to me and asked if he understood what the instructor was saying.  To both my relief and dismay, he was as confused as I was. There was an assumption that the students shared a language culture and understood what all of the acronyms he used meant.  The training was essentially useless - a complete waste of time and resources.

I do not feel it is only the student who can be adversely effected by this problem.  Both the Iron and Silk videos and the video about the teacher in northern New Mexico left me wondering, ""Who designed this course?  What preparation did they build in for the instructor?""  It seemed to me that both of those instructors had really been set up for failure.  I suppose it is possible that they designed their own courses, in which case they have no one to blame but themselves.  But, if they were hired to teach a course of instruction that had already been created, it should have included a lot more information about the target audience, their background, culture, language skills, etc.  They both probably needed much more exposure to the culture in which they were operating in order to be effective.  It should have been a prerequisite. 

I really appreciate this discussion.  While I think I have tried to take these things into account in a subconscious way before, I now believe that I can do that much more actively and consciously.  That can only be positive.  Thank you all.",6,0,4,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2
55,Post 7_1,A,"Hi Peter, I definitely have the same issues as an instructional designer. I feel like the people who request content expect the instructional designer to have the skills to make their content comprehensible and sometimes it can be hard. I am fortunate that my team reviews my content although sometimes I do feel like some of them are very nit-picky, it is for a good reason and I am trying to get used to that. I also agree that acronyms should not be used, but this is something I see many instructors use. Acronyms should be used sparingly and need to be clearly defined when used. 
You made an excellent point that anyone who is in the field of instruction, including instructional designers need some sort of multicultural training to understand the importance of inclusion and how to make content accessible to everyone. I appreciate that this course has continued to remind me of this and that I need to continue focusing on making content that everyone can understand. ",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
56,Post 7_1_1,G,"Melissa, I recently had a similar experience with a request for content that had me pulling my hair out.  The subject matter advisor (content requester) could not seem to get it through his head that the students did have some knowledge, but completely lacked other types of knowledge.  What he wanted us to make simple would not have made sense to or engaged the students.  He had no idea where the students ""where coming from"".  He fought me every step when I deviated from what he wanted. Honestly, after going around and around and trying to explain that I knew this target audience much better than he did, I gave up and decided to let him field the course.  I figured I could correct it when the reviews came into our office and I had hard data from actual students.  It is frustrating.  ",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
57,Post 7_2,I,"Hello, Pete.  I do agree that acronyms may be a deterrent to inclusion.  I do not even work with the military, which is infamous for having too many acronyms, and my job has so many, not to mention the names of so many specialty systems.  I have also been guilty of training using jargon at work and later realizing that I lost people.  I do not think this so much cultural exclusion in the traditional sense of the term (i.e., language, national origin, etc.), but it definitely sets apart those familiar with the systems from those learning, which can be intimidating.  I like your example of those who know how to drive a standard transmission vehicle versus those who do not.  I can also see how this can transfer this unintentional from the non-traditional sense to the traditional sense.  In the case of your example, I think it touches on the realm of age.  I know I am overgeneralizing, but every Millennial who has ridden in my car has been impressed that I have a standard transmission.  In fact, it was really difficult to find the configuration I wanted with a standard transmission when I purchased the car nine years ago.  I have a feeling it will be all but impossible now.
Do you think a lot of this may not be knowing your audience - not as in you not trying, but as in not having the adequate information?  For example, when I was asked to teach the financial systems ""course,"" (I am not a trainer, but was asked to give some folks a crash ad hoc training session so they could take on a new responsibility), I was given no background on them regarding finance training or experience.  Also, as an instructional designer, how to you deal with inclusion as far as students with different experience levels?  In the videos, Teacher Mark and the guy from Massachusetts seemed to have learners at roughly the same level as that is how formal academic education is structured.  However, when it comes to the type of workplace development that you do (and that I was asked to do), you get learners at all different levels.  I am unsure as to how to ensure the more experienced folks are not bored while not losing the beginners, especially when there is a strict time limit.  Now I worry that if I try to teach towards the middle as I usually do, I may make others feel marginalized.",7,1,1,0,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
58,Post 7_2_1,G,"Michelle, Inclusion for different levels of knowledge is very tricky for me.
The easy way for me to deal with it as a designer is a prerequisite course or test.  The student has to have demonstrated applied knowledge before they can attend.  But, that usually only works for advanced courses.  It can be helpful, but it is no guarantee.
In a basic course, it can be very tricky and a lot of it can be dependent on the instructor.  To help the instructor out, I try to design the curriculum in a way that forces them to go over the basic foundation that the course is trying to lay down.
One problem that we often encounter in my job is people who actually have prior knowledge and experience, but it is outdated or ""bad"" experience.  For example, knowing how to drive doesn't mean one knows how to drive safely.
You also run the risk of boring the more advanced students with basics.  I really liked how the book described using more advanced students to build a community of learning.  I have done that to an extent and it can be very effective.  It also sets up a mentor relationship and helps the truly new student move through that zone of proximal development where they might feel overwhelmed.  
I don't know of an easy answer.  I have had students in courses that, frankly, could have taught the course.  That is a tough position.  And, as you said, limited time and resources just makes it harder.",3,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1
59,Post 7_3,D,"Hi Peter,  You made a great point about assumptions of the learner that really struck me. I think it is one of the hardest aspects of instructional design, to understand your learner adequately. You're right, it is so easy to assume that the learner has the prerequisite knowledge needed, but doing so can mean setting the learner up for failure if we are wrong. This is where cultural stereotypes can really play in as well. I remember in one of the videos about micro-aggressions a man saying that his teacher picked him out of a group to help fix a bicycle possibly because he was a Hispanic male and there are assumptions that they are good at that type of work. Wow! He can't possibly know how to do every labor type of job, even if the stereotype were true, but can you imagine if instructors approached him that way in learning those types of things? He would often be taught with the disadvantage of not receiving the base of knowledge he needs. ",1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
60,Post 7_3_1,G,"Stephaine, Exactly.  I attended college in upstate New York.  When I was a sophomore,, I got into a discussion with a professor in a political science class.  At one point, he said to me, ""Well, your attitude is understandable:  You are from the South.""  I was literally dumbstruck for a second before I told him, ""I come from Indiana, sir.""  His response was, ""Yes! Exactly!""
After I got over how badly he understood the geography of his own country and the history of the civil war, I began to think about what else he assumed about me because I where he THOUGHT I was from.  I found out that he was not alone in thinking I was probably a ""rube from the sticks"".  Other professors had based their assessment of my capabilities on that. It is dangerous.  But, it is also so easy to do.  I've done it.  
My brother in law grew up on a farm in Indiana (I did not).  I asked him if he could drive my truck one day and had actually made plans assuming that he could.  He then told me, ""I cannot operate a manual transmission.""  I was shocked.  Back then, I thought, ""How did you grow up on a farm and never learn to drive a manual transmission?""  That was an assumption I had made about his knowledge base.
I'm really glad we are having this discussion, because I think it will really help me as I evaluate curriculum.  It will lead me to bring that question of what I am assuming to the forefront of my mind.",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
61,Post 7_4,P,"Peter, Great points!!! I think that, unfortunately, the experience that you described happens more often than not. I have been in many courses where I did not feel prepared to take them and my peers felt similarly. I also think that this is when assumptions begin, on both ends, and it prevents the students from learning and the instructor from effectively teaching useful content. ",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Post 7_5,C,"Hi Peter, Thanks for sharing your experience. I don't drive a stick and I totally understand your analogy. We all have biases towards people and things, and as you mentioned the only way to be mindful of our bias is to acknowledge that we have them. I have little experience as an instructional designer, I developed one training module in the past year, and it was a rewarding experience which gave me the opportunity to reflect on my bias. One helpful question I asked my self, and which you mention in your post, is ""what assumptions am I making about the learner."" Being able to reflect on this question gave me the opportunity to make revisions that were helpful to learners. ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,Post 8,N,"I found the Race and Social Justice Index Cards the most interesting part of this week's texts. I did enjoy the different learning format of having videos assigned as texts instead of just readings, as some others have mentioned. The culture shock clip reminded me of the idea of whole community learning that Dr. Lani was talking about in our last zoom session. I also see how the teacher in the Iron and Silk videos seems unprepared for his teaching assignment because of his ignorance of the high context Chinese culture. However, I doubt he recognizes his lack of preparedness because he seems to think his exposure to Chinese language and martial arts through films sufficient.
Going back to the index cards, I related to the concepts addressed because I have taught them before. I teach explicitly with my students whenever I can - deliberately outlining and explaining my thought processes and/or behaviors as I model them in the classroom. Particularly, I try to emphasize teaching about historical contexts of marginalization, institutionalized racism, and the inherent privilege afforded white students learning in the historical context of the colonized United States.  One example, I specifically teach the importance of naming and using names at the beginning of each school year. Another example, my South Valley school deliberately recognizes the impact of cultural norms on our students' attendance since many, many of them will miss several days of school surrounding a holiday break in order to get in an extended visit to Mexico to see family. A third example, I teach the historical creation and progression of the American prison system from a method of re-enslavement to the school-to-prison pipeline, and the disenfranchisement of modern prisoners mired in the institutionalized racism inherent to the system.
One new way that I want to address cultural inclusivity in my learning designs to support diversity is to take the suggestion to spend time listening to different accents and varieties of English. I think this is important to me since I know about code-switching and SES based vernaculars but I am experiencing more with translanguaging from my ELL students in the South Valley. ",2,0,5,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1
64,Post 8_1,B,"Rebecca I really like your idea for addressing cultural inclusivity by training your ear.  I have watched movies with Irish, Scots, or Welsh characters and even though English might be our common mother tongue, it still takes me a good ten minutes to train my ear to understand them!
We've had such a great dialog here! Let's take inspiration from Rebecca and brainstorm some ideas we can incorporate into our own instructional cultural sensitivity.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,Post 8_2,E,"Becky, thanks so much for these insights! Do you have handouts you'd be willing to share related to the mass incarceration/history curriculum as well as code-switching/SES based vernaculars? ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Post 8_2_1_2,E,"Thank you, Becky! I know you have so much on your plate, so please only if you are easily able to access these. It would be great to see your entry point etc. Thanks again!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
67,Post 8_3,A,"Hi Becky, I also appreciated the Race and Social Justice Index cards to be a great resource! Do you see yourself using some of this in your classroom? I feel like they are relevant to teachers as well. Something that I have noticed in the last couple of posts is the lack of unpreparedness from the teachers in the videos. This was something I overlooked, but I appreciate that everyone has pointed this out because a teacher should be prepared to teach students of different cultural backgrounds. We live in a diverse society, and I still feel like instructors, professors, and teachers forget this. ",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Post 8_3_1,N,"Absolutely, I love the ideas on the index cards. I have been exposed to most all of them previously through Culturally Relevant Teaching training and I love seeing the overlap in recommendations for cultural inclusivity between the suggestions of this course and my prior experience. From having implemented many of these ideas in my classroom already, I can attest that they really do work for opening up the classroom experience to diverse cultures and experiences. One thing that I see absent many times from discussions of diversity and culture is the idea of poor culture and the effects of SES. Having grown up what I like to call ""sh*t poor"" its something I think about a lot. ",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,Post 8_3_1_1,B,Rebecca-- I would love to hear more about the ways you have incorporated these ideas in your classroom! I think we could all gain inspiration from your experiences!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,Post 9,A,"Something that I went back and reflected on this week was the difference between low and high context cultures. Since we are talking about communication, how does low and high context culture affect learning? I was thinking about valuable it is to have background information to understand something which is a part of a high context culture, but what about low context? How does not having little to no context affect the way we construct knowledge? ",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
71,Post 10,M,"Culture and language go hand in hand. I do not think you can have one without the other. For example, in part one of Iron and Silk there was a difference in culture and the way communication showed respect. The American teacher wanted to be called by his first name, but the students saw this as a sign of disrespect. They were not going to call him by his first name, but they did reach an agreement that satisfied both cultural preferences, the teacher being called Mark and the students having a title to identify him.
I though part 2 was informative. It showed me how much Chinese culture depends on being polite rather than the context of the spoken word. This is very confusing and frustrating in our culture, or at least it can be because communication should be clear and concise, just like effective online communication should be (75).
I grew up in the Midwest, Michigan, where most of my family and friends speak fast. Because of my geographical location, I was told my English had a Canadian dialect. This was no problem for me growing up, but when I moved out of state it was funny at first. Most people were amazed and would joke that I could be an auctioneer. After while it did become a nuisance. I would repeat nearly everything I said three times. After the second time I would exaggerate the slowness and annunciate the sounds. Sometimes the receiver would think I was frustrated, and the conversation lost its original meaning. I make it a priority to think about what I say and speak clearly but my husband still has to ask me several times to repeat what I say, even after 8 years of marriage.",3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
72,Post 10_1,G,"Laura, I also grew up in the mid-west and have been called a ""fast talker"".  It was something I had to work on the first few times I had to testify in court.  The recorder and judge told me they could not keep up with what I was saying.  It was pretty embarrassing.  But, to this day, I still struggle with it.  It still takes a conscious effort on my part.  I suppose that is an example of a cultural attribute that one really cannot compensate for in a learning environment.  At least I cannot think of a way to compensate for that.  I am sure there are other examples.",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,Post 11,J,"Culture influences teaching because we have very multicultural classrooms and the teacher could have different cultural norms and expectations from the students. The education system can be biased towards middle-class and white values of how to communicate, what is important to learn, and how to act while learning and working. The community students come from might have specific styles of teaching and learning that the students will feel most comfortable working in and can accelerate learning if utilized. If a teacher doesn't understand the local culture they can misinterpret their student's intentions or invalidate the student's work by being overly critical of it.  Teachers have to be careful to monitor themselves and their classrooms for microaggressions because casual speech can accidentally turn into a situation for students that is uncomfortable or offensive and distracts from the learning process. Overall it's very important to be open-minded and listen and learn from the students.",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,Post 12,I,"The ""language"" of an area of study, whether it be in the professional or academic realms, has a big influence on the learning curve.  Before the last discussion forum, I felt as if I had a pretty fair grasp on the concept of cultural inclusivity as I am a person who has dealt with persons from all walks of life in both my work and personal areas of my life.  I have also studied cultures and the concept of cultural inclusivity through history and literature, and from and HR point-of-view academically in the various courses in my undergrad.  However, I had only read the book chapters prior to jumping into the last discussion board, and oh boy...I was quite lost.  As most folks in this course seem to be professional educators in one sense or another (i.e., teachers, corporate trainers, instructional designers, etc.), I was at a loss with some of the ""language"" being used.  I told my husband that I had not been this lost in a really long time.  However, aside from being stunned at my own ignorance (I suppose this can be classified as a form of cognitive dissonance), I nevertheless attempted to jump in and showed my hand...
There are a few things I learned from this.  First, culture does not have to be a large entity that defines large regions or groups of people.  It can be the idioculture (I had to keep looking up that word last week) of educators.  Second, I am learning a lot from you.  Initially, I was daunted by having to post regarding a concept I could barely articulate (hated it is more like it if I am being totally honest).  However, your responses were so helpful that I was actually be able to learn more than I would have on my own, which means that even though you are learners, you are also teachers.  Finally, ""listening"" to your stories and responses forced me to review outside sources on my own in order for me to understand some of the conversation.  It seems that by me trying to become part of your idioculture, my learning curve is being flattened because of the peer-to-peer support.  I have always kind of had to learn on my own, so this is a new experience and definitely expands my view of cultural inclusivity.
On a side note, I think the variety of knowledge delivery methods helps.  The book was informative, but the videos and flashcards really gave some frames of reference to the concepts.  I have been well-meaning yet off-the-mark when trying to deal with different groups before like the teacher from the culture shock video.  Also, I am still very fascinated by the translanguaging concept introduced in the last discussion, as well as in the videos this week.  This makes me wonder if total immersion is the best way to learn a new language as has been touted.  I have partially been putting off becoming fluent in Spanish until I move to a Spanish-speaking country because I have been told I will never truly learn until I am in a situation where I literally cannot use English, but it seems that less mistakes would be made using translanguaging as presented.",2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
75,Post 12_1,E,"Michelle, I'm really moved by your post; the raw honesty with which you are describing this experience resonates with me. I'm certainly experiencing  a lot of what you are as well. I agree that the use of different media helps drive home points in different ways. That's why I was fascinated by the ethnography/songwriting project Kristina Jacobsen is working on when she immersed herself in learning Sardi during her Fulbright and present on it in the Honors College. There are multiple fascinated ways of conveying cultural diversity that don't even require high tech solutions because I do worry that it's the technology/access gap that creates elitism as well.",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Post 12_2,C,"Hi Michelle, thank you for sharing your insight and experience. In most online courses I've attended I noticed that the goal is to get out our original comment and then post to 2 others for the credit by the dead line. This is solidified by the credit that is assigned to (forced) participation. 
In these scenarios I always allow others to take the lead; it solidifies what I understand, it aligns with my knowledge, or it gives me an opportunity to reflect and do further research. It can be intimidating to respond to a post when others appear to have so much knowledge in the content. 
I am enjoying learning from everyone as we all have different and varied experiences and interests. I, as you, enjoy the collectivist experience Lani and Linda are facilitating for us.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
