,#,LB,Post,PhI/A,Ph/B,Ph/C,Ph/D,Ph/E,PhII/A,PhII/B,PhII/C,PhIII/A,PhIII/B,PhIII/C,PhIII/D,PhIII/E,PhIV/A,PhIV/B,PhIV/C,PhIV/D,PhIV/E,PhV/A,PhV/B,PhV/C
48,Post 2_5_1,B,"I agree completely with your concerns. I mean, I use technology constantly on multiple formats (sometimes simultaneously) and I still have to ask my 17-year-old how to do stuff. I can't imagine being handed a Chromebook with no frame of reference! I think you broached perhaps the most important question in regards to online learning--using it as an instructional platform when not everyone has the technological background or access.",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Post 2_5_1_1,G,"It really is an issue and it moves beyond just online learning systems.  Where I work, we run into it.  You have people that have been using the same system of technology for years or even decades.  Then, a decision is made to upgrade.  Now we have two problems: 
1.  How do we alter the entry level training to accommodate the new technology?
2.  How do we design in service training to upgrade current team members to the new technology?
And this whole discussion brings up another piece of the puzzle for me:
3.  Is there a cultural facet for the learners that can cause an issue with that training?  Obviously, not everyone is approaching this from the same place - how do we deal with that and make sure it does not become an obstacle to effective training?
Thanks for keeping the conversation going.  This is really turning into an area that I, honestly, probably had not given enough consideration to in my design work.",1,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,Post 2_5_1_1_1,E,"Could this be changed into an opportunity for authentic learning where going into a ""messy"" environment fosters discussion around improvements that are not imposed from the top down but vetted through a community? It's ironic how misleading the work ""upgrade"" can be in its implications and how it is usually received.

I liked Meagan's comments on the different elements that could be built into eLearning to enhance design. That together with the various comments we've had on language from Melissa, Michelle M., Michelle C., and others, could perhaps be tied in to where you are going with your thoughts.",0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Post 2_5_1_1_1_1,G,"That's very possible, I think.  Just brainstorming, it occurs to me that you could create a learning community that involved the in service people and the new hires.  That might actually be a really interesting way to approach it.  There would be a lot of interesting cultural perspectives involved .  Drawing from another class I am taking in project management for online learning systems, it might be possible to devise an agile approach to the development of the learning system by creating that type of learning community.  I would speculate that such a system would be very robust, as it took cultural inclusivity into account from the very beginning, instead of trying to work it in as an after thought.  This is a really interesting conversation.  I am glad we are having it.  I see ""real world"" possibilities here already.",4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Post 2_5_1_1_1_1_1,E,"Wow, Pete, yes - when I think about education in the corrections system, which is what I'm currently interested in, the wording you are using really resonates! I'm intrigued.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Post 2_5_1_1_1_1_1_1,G,"A while back, I saw a very cool documentary shot in a prison in Indiana where an older inmate was really trying to explain to a brand new inmate the way that he needed to change his mentality in order to survive prison and prevent himself from coming back.  There was an obvious mentor relationship going on there, but it sort of went both ways.  The younger inmate saw the older man as a guide and teacher.  The older inmate almost seemed to view the younger man as a second chance for himself - a way to reverse to prevent the mistakes he had made in the past.
It was pretty cool to observe.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Post 2_5_1_1_1_1_1_1_1,E,"That is so encouraging. After I saw Ava Duvernay's 13th, I started looking for a penpal and have now been corresponding with someone for the last four years. He has gotten his paralegal certificate in the meantime and really is trying to stay positive about things. We have agreed that we have both learned from one another because of the depth and honesty of our exchange. At one point I was able to send books which he read and really liked and which we discussed, including Coehlo's The Alchemist and he has told me that he sees the world differently. Conversely, I wrote a lyrical non-fiction essay based on this, which I've shared with him in an edited form (so it would make it through security) and which I'm looking to get published. We can all learn so much from one another!",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Post 3,C,"Culturally inclusivity in an online environment is creating a space where people can learn from the collective experience of others regardless of ethnic or cultural identity.

This space is co-created by all members of the group who communicate and create rules for engagement. This environment is a centralized location where everyone is a contributor and a learner. People bring their wholes selves and everyone's contributions are appreciated and challenged democratically.

The goal of the group is to gain insight into each other's point of view and experience transformational change via learning and shared experiences. The learned concepts are transferrable to various professional and personal aspects of members' lives. 

Creating an inclusive online community requires intention. The designer and creator of the course must have insight into the topics, discussions, backgrounds, and goals of the learners to fully create an inclusive environment.

Elearning has stereotypes associated with content and delivery. The designer intentionally creates a space that is neutral, devoid of personality, to avoid bias. The goal of the designer is not to offend or identify people or to address a particular culture.

The issue with creating a neutral space for learning is that it is not engaging or it may not appeal to learners.

As Melissa shared in her post certain elements are necessary for creating an intentional inclusive experience for learners.

Ultimately it is impossible to create a natural space for learners. The designer will implement his/her/their own bias in developing learner content based on his/her/their understanding of what is ""standard.""

In the Goodfellow and Hewling's reading, they mention that elements of the dominant culture linger in the creation of an eLearning environment and are categorized as ""standard"" in terms of functionality. As we have learned, creating an inclusive experience needs to account for patterns of participation in individualistic and collectivist views as well as high and low context approaches to learning.

In addressing the question on the WisCom Framework I'd like to reference Melissa Herrera's post. 

""Instructional designers can create a culturally inclusive classroom by using the ingredients of the WisCom framework: 

Communication: Through communication, learners can pass on their cultural knowledge to others as opposed to allowing one dominant group to be held responsible for passing on knowledge such as the instructor. It also allows people to understand each other better and help the instructor understand what is needed for learners to be successful and valued within the eLearning community. 
Community: Cultural inclusivity allows for communities to develop where people in an online environment can come together and build a tight-knit group. I noticed how comfortable we are interacting with each other on the discussion boards that when we met for our second Zoom meeting, some of us were interacting like we've known each other for a long time! That is one of the wonderful things about building a community that is culturally inclusive where people respect each other's views and choices.
Technology: We need to be cognizant that not everyone knows how to use a computer, or does not have the bandwidth to do certain things so we need to be patient, teach others, and provide different resources so everyone can meet learning objectives. A culturally inclusive eLearning course does not solely rely on technology; they provide other mediums such as books, handouts, and other resources.
Co-mentoring: We need to work with people of different backgrounds which was something recommended by Tao & Cornell (2003). Co-mentoring is also a great way to provide scaffolding that might be needed for some learners to be successful and learn from each other.
Problem- solving and collaborative inquiry cycle: It is important to remember that not everyone has the same thought process and some cultures focus more on collaborative thinking than individual thinking (Bentley, Tinney, & Chia, 2005). Culturally inclusive classrooms are a mix of individual and collaborative thinking just like we are doing right now. We are sharing our views and synthesizing them into a summary at the end. 
Wisdom: A ""wise"" instructional designer intentionally creates a culturally inclusive eLearning experience by putting their own culture aside and looking for ways to build a strong learning community
Transformational learning: transformational learning takes place when learning environments allow learners to change their ways of thinking by interacting with learners of a different culture. This is the only way that transformational learning takes place, in my opinion, because sticking to our own beliefs or cultural group will not produce genuine transformational learning because we are not giving up anything. 
Learner support: Cultural inclusivity is all about providing support for the learner. A true culturally inclusive eLearning experience has different support systems for every learner to be successful.""
I found the information in her post to be concise and inclusive.


I look forward to reading your contributions and learning from you. ",14,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Post 3_1,A,"So far, everyone has shared some great ideas revolving Michelle's 3 factors for creating a culturally inclusive eLearning experience. I agree with everyone's statements especially when it comes to having a ""tangible platform."" This is a challenge that I feel has become a hot topic because of remote learning. Had we not had a pandemic, would this be something most of us would think about with respect to students who are English Learners, disabled, or have no experience with technology? I don't want to get off-track with this, this is just something to think about beyond this discussion. 

I agree with Mark that a challenge instructional designers face is the reliance on building a neutral space that can affect a learner's motivation and interest resulting in no meaningful learning opportunities. That is why we need to consider the different parts of the WisCom model as a key to cultural inclusivity. We need to be intentional in how we communicate, offer learner support and co-mentoring opportunities, use technology, and build a strong community. These will lead to the desired outcome of transformational learning. ",2,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0
57,Post 3_2,E,"Thanks Michelle, Mark, Stephanie, Dixie, and Melissa, for expanding and commenting. Dixie, your ""culture neutral"" entry point certainly speaks to Learner Support in the WisCom model. Does the CIC offer a platform to explore other devices than the ones you named to serve culture neutrality? Is that even a desired outcome?

I would encourage us to see how group members who have not yet chimed in explore these concepts.",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Post 3_3,I,"So far, everyone has shared some great ideas revolving Michelle's 3 factors for creating a culturally inclusive eLearning experience. I agree with everyone's statements especially when it comes to having a ""tangible platform."" This is a challenge that I feel has become a hot topic because of remote learning. Had we not had a pandemic, would this be something most of us would think about with respect to students who are English Learners, disabled, or have no experience with technology? I don't want to get off-track with this, this is just something to think about beyond this discussion. 

I agree with Mark that a challenge instructional designers face is the reliance on building a neutral space that can affect a learner's motivation and interest resulting in no meaningful learning opportunities. That is why we need to consider the different parts of the WisCom model as a key to cultural inclusivity. We need to be intentional in how we communicate, offer learner support and co-mentoring opportunities, use technology, and build a strong community. These will lead to the desired outcome of transformational learning. ",3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Post 3_4,J,"So far, everyone has shared some great ideas revolving Michelle's 3 factors for creating a culturally inclusive eLearning experience. I agree with everyone's statements especially when it comes to having a ""tangible platform."" This is a challenge that I feel has become a hot topic because of remote learning. Had we not had a pandemic, would this be something most of us would think about with respect to students who are English Learners, disabled, or have no experience with technology? I don't want to get off-track with this, this is just something to think about beyond this discussion. 

I agree with Mark that a challenge instructional designers face is the reliance on building a neutral space that can affect a learner's motivation and interest resulting in no meaningful learning opportunities. That is why we need to consider the different parts of the WisCom model as a key to cultural inclusivity. We need to be intentional in how we communicate, offer learner support and co-mentoring opportunities, use technology, and build a strong community. These will lead to the desired outcome of transformational learning. ",6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Post 4,K,"""What does it mean to be culturally inclusive in online course design?""

This seems like an easy question with a simple answer but I find I am stumped to try and define it. I think being culturally inclusive simply put is being apart of something others are not. In regards to the online course design, we can use this simple answer that ""we"" are all apart of something (this class) that others are not. We have our own community we have formed and know how to operate in. It would be difficult for someone outside of the Course to fully understand the little nuances that we have within it.",3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Post 4_1,E,"Hi Amanda,

So you are approaching this in lines of idiopathic culture? Can we take the concepts of collaboration, reflection, and exploration and elaborate on these relative to the WisCom we are trying to create during this class? Over the course of introductions and sharing one defining influence over the last sessions, can we all come to a consensus of how we are currently collaborating, reflecting, and exploring? Which media are we using? Are we agreeing to disagree on anything and what are the rules involved in that? Will the artifacts we come away with adequately reflect the values of the cyberculture we are building here?",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Post 5,P,A culturally inclusive online course provides a safe and comfortable learning environment where all participants have the opportunity to succeed. There is framework introduced at the beginning of the course outlining expectations and instructors can ask for feedback from the participants regarding the course setup.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Post 5_1,K,"Tying your comments on inclusive online courses back to WisCom.  I think WisCom gives us the core elements to create a framework for our course.  But flexibility to adapt and overlap the elements is key to success. 

An example of overlapping elements:

Imagine a non-native person trying to learn a new skill in a high-context language.  We know that effective communication is essential.  Technology can help to translate the language, but translation alone will not create effective communication.  Context is also needed.  This is where a mentor, who understands the context, would really be helpful to the learning process. Having a sense of purpose/ sense of community draws the learner into the learning process even when there are challenges.
",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
64,Post 5_1_1,E,"Thanks, All!

Can we bring the idea of ""idioculture"" into the mix:

An idioculture is a system of knowledge, beliefs, behaviors, and customs shared by members of an interacting group to which members can refer and that serve as the basis of further interaction. Members recognize that they share experiences, and these experiences can be referred to with the expectation they will be understood by other members, thus being used to construct a reality for the participants (Fine, 1987, p.125).

Something that struck me in the various definitions of culture and so diversity was how temporality was addressed in some older ones but then subsumed in more recent definitions; the above definition perhaps encapsulates that in ""being used to construct"" - I am thinking of examples of ever changing language, habits, norms etc. - just as we are now using pronouns to introduce ourselves in many contexts, in German, e.g. the neutral has been added to job listings and such. Do these kinds of changes factor into creating an idioculture as well?

Dixie, I'm glad you've brought the high-context idea into the discussion. What do we want to look for in an idioculture? How does that reinforce or work with cultural diversity?

Thanks, Eva",0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Post 5_1_1_1,O,"The idea of ideoculture here is very intriguing to me Eva! As an early childhood teacher in the past and now a coach and mentor, we often see this play out in the center and in the classrooms as we train our teachers on center philosophy and then then they set the social context and expectations in the classroom utilizing the expected philosophy and pedagogical approaches and adding their own layer of expectations. Even though they may be consistent in application and expectation, we still expect to see ideocultures form amongst the children as small groups find commonalities on other motivations or needs. I would expect that the same would happen within an online learning platform, but this being my first experience being an online learner I am curious to see how this plays our with our entire group as well as small individual groups that will form based on interests and needs. How does this get supported and or guided in this process? I am very interested to hear how you all who are much more familiar with the dynamics of eLearning speak to this. I am assuming that part of this process we are going through is to allow our group learning dynamics too dictate some the pathway for the rest of this course, and it has been very interesting to navigate thus far!",2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Post 5_1_1_1_1,E,"Excellent points you bring up, Lisa; I'm sure your experience will feed into the further discussion as others share about eLearning environments because I do appreciate the point that is cited in ""Reconceptualising Culture in Virtual Learning Environments"" - 'cultures do not talk to each other; individuals do.' (Scollon & Wong-Scollon, 2001, p 138).",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Post 5_1_1_1_1_1,O,"Eva, I agree! While the conceptual understanding is very important, practical and meaningful application must follow or it will nevernhave the impact we all working towards......",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Post 5_2,B,"This whole thread has been so thought provoking! Regarding idioculture, it seems to be a system that can only be used once those beliefs, knowledge, and customs are established. In eLearning, this might be after a syllabus has been distributed and expectations for the class set (orientation). Is there then a larger idioculture? That being an ""American"" or ""adults who are doing graduate work"" idioculture that needs to take into account cultural inclusivity on a broader scale so the more specific idioculture of an online class can operate more effectively?

Or am I just muddying the waters unnecessarily? I feel a bit like I went down a rabbit hole there!",1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Post 5_2_1,E,"Love that idea! I do think it might take us back into a broader Anthro, Sociology, History place while, going by the definitions of culture offered in the PowerPoint in our module materials, it seems definitions were being looked at chronologically but also contextually landing us in the realm of cyberculture and with idioculture relative to our WisCom at the level we want to stay right now. But your ruminations and fascination reflect what I think everyone is trying to address in some way. Is it a matter of finding the smallest common denominator or do we accept a more messy approach and mixed formats, e.g. with language using macro and micro groupings to solve problems.

This conversation has also made me think about chauvinism a lot and this notion of English as a lingua franca. At what point will English be superseded by Spanish or Chinese? Or x? I bring up this point with regard to comfort levels for participants and natural advantages and disadvantages language skills put participants at. Will there at some point simply be a divide between groups because of language, or could this be turned into something positive, with content being translated into major languages and exchanges being encouraged even if they regularly require translational moments? How would that WisCom look?",2,1,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Post 5_2_1_1,B,"As the rest of the world generally speaks more than one language, I think this is something English-only Americans should really think about! I definitely think limited knowledge of languages other than your mother tongue will be an issue as our online educational world grows.

And what about the translation technology that is becoming more and more comprehensive? I know the idea is that you will be able to speak into your phone and it will translate and speak in the language of choice, and what an opportunity to reach people! But what an immense challenge to try to bridge cultural differences. I'm not sure it could be done, but perhaps technology could have a cultural translator as well. 

WisCom in an instance where an automatic translation was occurring might actually require MORE cultural sensitivity from an instructor because you would need to consider all the ways in which your message could be translated--exhausting thought! (And a cultural translator could certainly come in handy for the professor in the short films we are watching!)",1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
71,Post 5_2_1_1_1,E,"Michelle,

I do think it is important to take into account how many people are in fact bi- and trilingual in the US, however they are mostly societally marginalized and not the dominant group to which education caters based on buying power. In fact, I have seen Americans learn foreign languages much more proficiently and be very humble about it compared, e.g. with Germans who think they command umpteen languages when they don't; and I have definitely experienced language chauvinism in France. European countries have myriad ways of engaging and not engaging in language acquisition; perhaps cultivation of local dialects is something that makes many bi-lingual and living in border towns may turn that into trilingual (e.g. on the Swiss border, Germans speak High German, Allemanish and Schwitzerdütsch) but that's based on history, borders, and trade - just like in the US.

That said, in certain parts of the US it is very discouraging how monolingual people are. But then, even UNM last year cut the requirement for how many semesters one has to study a foreign language and on retiring, the Italian professor and thus the program was cut.

I really liked the video Melissa shared. Perhaps the  WisCom framework can create a whole new learning platform for languages.",3,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
72,Post 5_2,H,"In my bachelor's program I used several different eLearning course frameworks, such as Moodle, Blackboard and Canvas. All of them had their benefits and drawbacks, personally I liked Blackboard the best. If you could add one feature to a eLearning system, what would it be?",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Post 6,M,"I think eLearning is important because we are a world that is moving to technology only transactions. Many places here locally are only taking debt/credit cards for payment, with sign's stating ""due to the coin shortage, please pay with exact change or card."" eLearning can lead to difficulty with cultural inclusivity. The definition of ""cultural inclusivity,"" although varies by personal perception, can be reached in a  consensus among peers/classmates. I think the difficulty lies in the application. For example, look at the formal language we use in class discussion. Isn't a discussion board supposed to foster thoughts and response to expand on learning? This omits the personal tone in some individuals way of speaking, we miss the personal or cultural background for understanding. This is just a thought. ",3,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
74,Post 6_1,P,"Great points! I really liked what you had to say about the verbiage we use in these discussion posts. I think that was a really great observation! 

Alexis",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Post 6_2,A,I like your insight into how we are defining eLearning and how we may unintentionally leaving our own cultural assumptions aside to be accepted by our peers as we are collaborating in this discussion. I think this is why people choose not to participate in classroom discussions because they are not familiarized with the academic language and might feel their own connections may not apply which is untrue because making personal connections is more meaningful than utilizing academic language at times. ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Post 6_3,E,"I so appreciate bringing up this point of language in the context of cultural inclusivity. IN the ""Meaning of Culture in Online Education"" article, suggestion was made that  ""in a cross-cultures synchronous online learning environment, a common language like English can be used for joint activites, but preparation and follow-up activities can be organized locally in their native langue (Van den Breanden & Lambert, 1999)."" I wonder how this could translate with regard to different types of ""languages"" and levels. I recently found a capstone project two students in NY did working with correctional education with a focus on environmentalism awareness during which they chose young adult reading material in order to find a median reading level for the inmates in the class - this approach was assessed positively by both the instructors and the participants, at the same time, the participants proceeded to formulate their contributions at their various language levels.

I wonder whether we can break down these components, such as language and create lists of relevant examples/keywords and perhaps add glossaries for the personal/high context concepts in order to create a map to navigate cultural difference and thus promote diversity?",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0
77,Post 6_3_1,A,"I think that's a great idea. For language, we can maybe break it into two parts: academic or every day language. For academic language, we can say it is developed through school and subjects (math, reading, social studies, science, and arts) while everyday language comes from the home, community, and Internet (e.g. social media). ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Post 7,Lani,"This has been yet another thought provoking and engaging discussion. Thank you all for contributing and sharing your perspectives on cultural inclusivity.  I really like the examples and life experiences you share. Also, thanks go to Eva for moderating and helping us direct the discussion. I am very pleased with the discussion so far, and want to thank all of you who have contributed. I would like to ask those who have not yet shared to let us know your perspectives as well.

To add to the previous discussion on defining cultural inclusivity, I feel that inclusion fosters a sense of belonging to a community—feeling appreciated for one’s unique characteristics, perspectives, contributions, and ways of thinking. In inclusive learning environments, participants are encouraged to interact and negotiate meaning with one another. Participants therefore feel comfortable sharing their ideas, their identities, cultures, languages, and ways of seeing the world. We may not know all our learners at the beginning of a course, but if we design online learning environments with cultural inclusivity in mind, by accounting for the expression of different values, beliefs, worldviews, and educational experiences, it will help all learners feel valued, accepted, and respected, contributing to their growth.

I think three important strands of discussion have emerged that warrant further exploration, and some of you have already taken a stab at them.  One of them is the three levels of adapting a course discussed in Chapter 1, translation, localization, and modularization (Marinetti & Dunn, 2012). I argue in favor of localization and cultural contextualization of learning activities rather than globalization, which creates a one size fits all learning design that may not be culturally inclusive. The second strand is defining culture as an idioculture that emerges from the interacting group. How would we design for idiocultures?  The third strand is the role of language. I feel that second language speakers are usually challenged in asynchronous discussions.  Would “translanguaging” or allowing for the full repertoire of a person’s linguistic expression be the answer? How can we address this? I hope to see further discussion on these great ideas you have brought up.

In addition, I would encourage you to take a critical look at the WisCom framework. Some of the questions, I have in mind are:  To what extent does it help us to design with cultural inclusivity in mind.? What type of learner would thrive in a WisCom learning design, and who would feel left out? What is missing in WisCom? How can we improve it?  

Look forward to your thoughts.",7,7,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,1,1
79,Post 7_1,D,"Dr. Lani, 

In response to your point about translanguaging, I definitely agree that second language speakers are at a disadvantage in classroom discussions, however I do not have a definitive answer for whether I feel it should be allowed in the classroom. I think to some extent it almost has to be allowed so that students can fully express what they know, but my question is: how will the teacher know what they are expressing if they do not know the other language, and if that is the case is it still worthwhile? I'm curious to hear what my classmate think.

In my family, a lot of us speak a form of Spanglish (Spanish and English mix) when were are together. However, I have never felt comfortable to use it in an academic situation. My reasoning for this is probably fear of feeling ostracized because we are expected to use academic English in school. The difference for me however is that English is my first language, so I don't feel like I need the support of Spanglish or Spanish to express my ideas, but if I was working in a Spanish speaking community I would definitely feel more comfortable using English sometimes or at least some Spanglish. Does anyone have experience with this? Do you think translanguaging works in the classroom?",0,1,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Post 7_1_1,C,"Stephanie-

I too wonder if there is a ""correct"" approach to translanguaging in education.

I think medical education takes the reverse approach to this question.  Much of med ed in based in Latin, a language that is likely to be unfamiliar to most.  Students are expected to learn this whole new language in order to correctly communicate in the medical world.  Those who fail to learn the language are generally ostracized.  But with this approach, no one has a true advantage.  We all start out as novices.

In regards to localization vs globalization, I believe you need to identify your audience and your intent.  Some educators are looking to reach a large audience and capitalize on their investment.  There is nothing wrong with this.  But it may guide you in more of a global direction.",0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
81,Post 7_1_1_1,E,"Stephanie-

I too wonder if there is a ""correct"" approach to translanguaging in education.

I think medical education takes the reverse approach to this question.  Much of med ed in based in Latin, a language that is likely to be unfamiliar to most.  Students are expected to learn this whole new language in order to correctly communicate in the medical world.  Those who fail to learn the language are generally ostracized.  But with this approach, no one has a true advantage.  We all start out as novices.

In regards to localization vs globalization, I believe you need to identify your audience and your intent.  Some educators are looking to reach a large audience and capitalize on their investment.  There is nothing wrong with this.  But it may guide you in more of a global direction.",0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Post 7_1_2,K,"Stephanie-

I too wonder if there is a ""correct"" approach to translanguaging in education.

I think medical education takes the reverse approach to this question.  Much of med ed in based in Latin, a language that is likely to be unfamiliar to most.  Students are expected to learn this whole new language in order to correctly communicate in the medical world.  Those who fail to learn the language are generally ostracized.  But with this approach, no one has a true advantage.  We all start out as novices.

In regards to localization vs globalization, I believe you need to identify your audience and your intent.  Some educators are looking to reach a large audience and capitalize on their investment.  There is nothing wrong with this.  But it may guide you in more of a global direction.",3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
83,Post 7_2,A,"Hi All, 

I wanted to share some quick info. regarding translanguaging and how it works in the classroom. ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Post 7_2_1,E,"This is great, Melissa!

Would love to get some input from anyone who hasn't had a chance to jump in yet and I'll just repost the last questions Dr. Lani put out here regarding the WisCom framework - I think this video you've shared offers a powerful place from which to explore these questions:

To what extent does it help us to design with cultural inclusivity in mind.? What type of learner would thrive in a WisCom learning design, and who would feel left out? What is missing in WisCom? How can we improve it? ",0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Post 7_2_2_1,B,"Thanks for the reminder prompt, Eva!

I've actually been thinking a lot about what types of learners would thrive in a WisCom learning design and who might feel left out. At first, I considered that the framework was universal enough that anyone could thrive in it. But then someone (I think it was Mark) mentioned that sometimes he didn't speak up in online classes as much as he might because he was trying to be polite and allow other people to speak. This then got me to thinking about people who might be shy or introverted and feel awkward participating in an online discussion, and then I wondered about people who may have other factors that make participating in a collaborative program untenable. 

For example, I have a child who suffered crippling depression and anxiety (with a host of sub-diagnoses) in high school. We had to get a 504 accessibility plan to enable them to take time off when in a bad state or take longer to turn in an assignment. I'm not certain it would have been possible to enact such a plan if the learning was in an online collaborative environment. Now it might be easy to say, ""well then those people shouldn't take an online class"" but I think this limits the scope of what WisCom seeks to do which is to provide transformative learning. 

This may not seem like a ""cultural"" issue, but I'm referencing the article ""Reconceptualizing Culture in Virtual Learning"" and the idea that ""Culture conceptualized in terms of nationality or of ethnicity is limited usefullness in understanding interpersonal interaction because of complexity of influences and determinants within an individual."" So essentially, I'm proposing that social and mental health issues fit as a ""culture"" to be considered in designing a learning platform.

Perhaps what needs to be included in cases like this are options of participating more asynchronously (like this very forum) and the ability to perhaps turn off the camera and only use chat in instances like Zoom meetings. The collaborative side of WisCom may need to consider that some people are not always able to work collaboratively.

Sorry for the extensive read! Oh! and my kiddo has had some tremendous recovery and recently graduated Suma Cum Laude from UNM so everything turned out great in the end!",3,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0
86,Post 7_2_2_1_1,A,"You made a great point that chat is a great means of communication. This is something we use in our virtual training sessions, and often we get better responses through chat than by allowing them to verbally share. ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Post 7_2_2_1_2,F,"Hi Melissa and Michelle,

I too agree that chat is a great means of communication. I have found this to be very true while currently teaching my students online. My student's are not comfortable enough to verbally share questions, concerns, connections,etc.  because we are still building relationships with each other, but they are more than willing to type their questions, concerns, connections in the chat box for me to address. The chat function is amazing for my kiddos with Autism who have anxiety with speaking in front of others or who don't like to be seen on the camera. The chat function allows them to still be included and contribute to class discussions without causing them any undue stress.",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Post 7_2_2_2,E,"Michelle,

Wow, what a success story! But wow, what a challenge. I think absolutely there needs to be space in the environment but it sounds like it could be difficult to create the parameters for that. In the two online models that were discussed in Meaning of Culture, I liked how the differentiation came down to rigidity of learning versus flexibility and both having pros and cons. I think it's a standard/human issue that everything has two sides - I just keep seeing the yin/yang image...so much to keep considering - and then just testing and assessing.",0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
89,Post 7_2_2_2_1,I,"Thank you so much for providing this video, Melissa! I was at a loss before viewing it.

Not only may translanguaging give students the confidence to do well, it seems that this method would also help students learn the new second language more quickly as it gives meaning and context (the importance of which someone mentioned in a previous thread) to what they are trying to translate.  I can also see it helping students learn as they must be engaged through all three steps as translation for a non-native speaker of a language requires total focus.  This may also have an advantage to native speakers of course's language, which would be to have them be more engaged with the material as well as they try to explain the nuances and context of their language to the non-native speaker.  Come to think of it, I have had friends where English was not their primary language, and it did force me to look at the material more in depth so I could answer their questions more thoroughly than I would have with another native English speaker.  Finally, it seems as if translanguaging would soften the mentor-mentee boundary.  Wow!  I am super excited!  The pragmatic side of me is now wondering if we should intentionally assign multi-lingual classes to encourage interactive and contextual learning.",0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0
90,Post 7_2_2_2_1_1,A,"Absolutely, Michelle! Translanguaging is a great way for all learners to develop a second language. I am a certified bilingual teacher, and while I haven't had the opportunity to teach in a fully bilingual setting, I have been in classrooms where teachers allow their students to share in their native language and the teacher may respond back in their native language or English. Just this past year, my friend had a student who only spoke Korean and she used her translator to communicate with her and allowed her to share her responses in Korean. I think an eLearning environment we have translators easily available which may be helpful if some of the learners do not speak English. ",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
